id,name_en,name_ru,iba_category,ingredients_json,ingredients_raw,instructions_en,instructions_ru,garnish,glass,abv_estimate,preparation_time_minutes,taste_tags,taste_description_ru,image_url,source
bellini,Bellini,,Contemporary Classics,"[{""name"": ""Prosecco"", ""amount"": ""100"", ""unit"": ""ml"", ""note"": """", ""direction"": ""100 ml Prosecco"", ""raw"": ""100 ml Prosecco""}, {""name"": ""White Peach Puree"", ""amount"": ""50"", ""unit"": ""ml"", ""note"": """", ""direction"": ""50 ml White Peach Puree"", ""raw"": ""50 ml White Peach Puree""}]","100 ml Prosecco,50 ml White Peach Puree","Pour peach puree into the mixing glass with ice, add the Prosecco wine. Stir gently and pour in a chilled flute glass. Note: PUCCINI - Fresh Mandarin Orange Juice; ROSSINI - Fresh Strawberry Puree; TINTORETTO - Fresh Pomegranate Juice.",,,,,,[],,,IBA
black-russian,Black Russian,,Contemporary Classics,"[{""name"": ""Vodka"", ""amount"": ""50"", ""unit"": ""ml"", ""note"": """", ""direction"": ""50 ml Vodka"", ""raw"": ""50 ml Vodka""}, {""name"": ""Coffee Liqueur"", ""amount"": ""20"", ""unit"": ""ml"", ""note"": """", ""direction"": ""20 ml Coffee Liqueur"", ""raw"": ""20 ml Coffee Liqueur""}]","50 ml Vodka,20 ml Coffee Liqueur",Pour the ingredients into the old fashioned glass filled with ice cubes. Stir gently. Note: WHITE RUSSIAN - Float fresh cream on the top and stir in slowly.,,,,,,[],,,IBA
bloody-mary,Bloody Mary,,Contemporary Classics,"[{""name"": ""Vodka"", ""amount"": ""45"", ""unit"": ""ml"", ""note"": """", ""direction"": ""45 ml Vodka"", ""raw"": ""45 ml Vodka""}, {""name"": ""Tomato Juice"", ""amount"": ""90"", ""unit"": ""ml"", ""note"": """", ""direction"": ""90 ml Tomato Juice"", ""raw"": ""90 ml Tomato Juice""}, {""name"": ""Fresh Lemon Juice"", ""amount"": ""15"", ""unit"": ""ml"", ""note"": """", ""direction"": ""15 ml Fresh Lemon Juice"", ""raw"": ""15 ml Fresh Lemon Juice""}, {""name"": ""Worcestershire Sauce"", ""amount"": ""2"", ""unit"": ""dash"", ""note"": """", ""direction"": ""2 dashes Worcestershire Sauce"", ""raw"": ""2 dash Worcestershire Sauce""}, {""name"": ""Tabasco"", ""amount"": ""1"", ""unit"": ""dash"", ""note"": """", ""direction"": ""Tabasco"", ""raw"": ""1 dash Tabasco""}, {""name"": ""Celery Salt"", ""amount"": ""1"", ""unit"": ""dash"", ""note"": """", ""direction"": ""Celery Salt"", ""raw"": ""1 dash Celery Salt""}, {""name"": ""Pepper"", ""amount"": ""1"", ""unit"": ""dash"", ""note"": ""Up to taste"", ""direction"": ""Pepper (Up to taste)"", ""raw"": ""1 dash Pepper Up to taste""}]","45 ml Vodka,90 ml Tomato Juice,15 ml Fresh Lemon Juice,2 dashes Worcestershire Sauce,Tabasco,Celery Salt,Pepper (Up to taste)","Stir gently all the ingredients in a mixing glass with ice, pour into rocks glass. Note: If requested served with ice, pour into highball glass.",,"Celery, Lemon Wedge (Optional)",,,,[],,,IBA
caipirinha,Caipirinha,,Contemporary Classics,"[{""name"": ""Cachaça"", ""amount"": ""60"", ""unit"": ""ml"", ""note"": """", ""direction"": ""60 ml Cachaça"", ""raw"": ""60 ml Cachaça""}, {""name"": ""Lime cut into small wedges"", ""amount"": ""1"", ""unit"": ""piece"", ""note"": """", ""direction"": ""1 Lime cut into small wedges"", ""raw"": ""1 piece Lime cut into small wedges""}, {""name"": ""White Cane Sugar"", ""amount"": ""4"", ""unit"": ""teaspoon"", ""note"": """", ""direction"": ""4 Teaspoons White Cane Sugar"", ""raw"": ""4 teaspoon White Cane Sugar""}]","60 ml Cachaça,1 Lime cut into small wedges,4 Teaspoons White Cane Sugar",Place lime and sugar into a double old fashioned glass and muddle gently. Fill the glass with cracked ice and add Cachaça. Stir gently to involve ingredients. Note: CAIPIROSKA - Instead of Cachaça use Vodka;,,,,,,[],,,IBA
champagne-cocktail,Champagne Cocktail,,Contemporary Classics,"[{""name"": ""Chilled Champagne"", ""amount"": ""90"", ""unit"": ""ml"", ""note"": """", ""direction"": ""90 ml Chilled Champagne"", ""raw"": ""90 ml Chilled Champagne""}, {""name"": ""Cognac"", ""amount"": ""10"", ""unit"": ""ml"", ""note"": """", ""direction"": ""10 ml Cognac"", ""raw"": ""10 ml Cognac""}, {""name"": ""Angostura bitters"", ""amount"": ""2"", ""unit"": ""dash"", ""note"": """", ""direction"": ""2 dashes Angostura bitters"", ""raw"": ""2 dash Angostura bitters""}, {""name"": ""Grand Marnier"", ""amount"": ""few"", ""unit"": ""drops"", ""note"": ""optional"", ""direction"": ""Few drops of Grand Marnier (optional)"", ""raw"": ""few drops Grand Marnier optional""}, {""name"": ""Sugar Cube"", ""amount"": ""1"", ""unit"": ""piece"", ""note"": """", ""direction"": ""1 sugar cube"", ""raw"": ""1 piece Sugar Cube""}]","90 ml Chilled Champagne,10 ml Cognac,2 dashes Angostura bitters,Few drops of Grand Marnier (optional),1 sugar cube","Place the sugar cube with 2 dashes of bitters in a large Champagne glass, add the cognac. Pour gently chilled Champagne.",,Garnish with orange zest and maraschino cherry.,,,,[],,,IBA
corpse-reviver-2,Corpse Reviver #2,,Contemporary Classics,"[{""name"": ""Gin"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Gin"", ""raw"": ""30 ml Gin""}, {""name"": ""Cointreau"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Cointreau"", ""raw"": ""30 ml Cointreau""}, {""name"": ""Lillet Blanc"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Lillet Blanc"", ""raw"": ""30 ml Lillet Blanc""}, {""name"": ""Fresh Lemon Juice"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Fresh Lemon Juice"", ""raw"": ""30 ml Fresh Lemon Juice""}, {""name"": ""Absinthe"", ""amount"": ""1"", ""unit"": ""dash"", ""note"": """", ""direction"": ""1 dash Absinthe"", ""raw"": ""1 dash Absinthe""}]","30 ml Gin,30 ml Cointreau,30 ml Lillet Blanc,30 ml Fresh Lemon Juice,1 dash Absinthe",Pour all ingredients into shaker with ice. Shake well and strain in chilled cocktail glass.,,Garnish with orange zest,,,,[],,,IBA
cosmopolitan,Cosmopolitan,,Contemporary Classics,"[{""name"": ""Vodka Citron"", ""amount"": ""40"", ""unit"": ""ml"", ""note"": """", ""direction"": ""40 ml Vodka Citron"", ""raw"": ""40 ml Vodka Citron""}, {""name"": ""Cointreau"", ""amount"": ""15"", ""unit"": ""ml"", ""note"": """", ""direction"": ""15 ml Cointreau"", ""raw"": ""15 ml Cointreau""}, {""name"": ""Fresh Lime Juice"", ""amount"": ""15"", ""unit"": ""ml"", ""note"": """", ""direction"": ""15 ml Fresh Lime Juice"", ""raw"": ""15 ml Fresh Lime Juice""}, {""name"": ""Cranberry Juice"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Cranberry Juice"", ""raw"": ""30 ml Cranberry Juice""}]","40 ml Vodka Citron,15 ml Cointreau,15 ml Fresh Lime Juice,30 ml Cranberry Juice",Add all ingredients into a cocktail shaker filled with ice. Shake well and strain into a large cocktail glass.,,Garnish with a lemon twist.,,,,[],,,IBA
cuba-libre,Cuba Libre,,Contemporary Classics,"[{""name"": ""White Rum"", ""amount"": ""50"", ""unit"": ""ml"", ""note"": """", ""direction"": ""50 ml White Rum"", ""raw"": ""50 ml White Rum""}, {""name"": ""Coca Cola"", ""amount"": ""120"", ""unit"": ""ml"", ""note"": """", ""direction"": ""120 ml Coca Cola"", ""raw"": ""120 ml Coca Cola""}, {""name"": ""Fresh Lime Juice"", ""amount"": ""10"", ""unit"": ""ml"", ""note"": """", ""direction"": ""10 ml Fresh Lime Juice"", ""raw"": ""10 ml Fresh Lime Juice""}]","50 ml White Rum,120 ml Coca Cola,10 ml Fresh Lime Juice",Build all ingredients in a highball glass filled with ice.,,Garnish with lime wedge.,,,,[],,,IBA
french-75,French 75,,Contemporary Classics,"[{""name"": ""Gin"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Gin"", ""raw"": ""30 ml Gin""}, {""name"": ""Fresh Lemon Juice"", ""amount"": ""15"", ""unit"": ""ml"", ""note"": """", ""direction"": ""15 ml Fresh Lemon Juice"", ""raw"": ""15 ml Fresh Lemon Juice""}, {""name"": ""Sugar Syrup"", ""amount"": ""15"", ""unit"": ""ml"", ""note"": """", ""direction"": ""15 ml Sugar Syrup"", ""raw"": ""15 ml Sugar Syrup""}, {""name"": ""Champagne"", ""amount"": ""60"", ""unit"": ""ml"", ""note"": """", ""direction"": ""60 ml Champagne"", ""raw"": ""60 ml Champagne""}]","30 ml Gin,15 ml Fresh Lemon Juice,15 ml Sugar Syrup,60 ml Champagne","Pour all the ingredients, except Champagne, into a shaker. Shake well and strain into a Champagne flute. Top up with Champagne. Stir gently.",,,,,,[],,,IBA
french-connection,French Connection,,Contemporary Classics,"[{""name"": ""Cognac"", ""amount"": ""35"", ""unit"": ""ml"", ""note"": """", ""direction"": ""35 ml Cognac"", ""raw"": ""35 ml Cognac""}, {""name"": ""Amaretto"", ""amount"": ""35"", ""unit"": ""ml"", ""note"": """", ""direction"": ""35 ml Amaretto"", ""raw"": ""35 ml Amaretto""}]","35 ml Cognac,35 ml Amaretto",Pour all ingredients directly into an old fashioned glass filled with ice cubes. Stir gently.,,,,,,[],,,IBA
